ZH487_brain_cancer_4731_5mC	ZH492_brain_cancer_3926_5mC	ZH544_brain_cancer_5255_5mC	ZH478_brain_cancer_4896_5mC	Merge087_6555_plasma	ZH543_brain_cancer_5220_5mC	ZH523_brain_cancer_3661_5mC	ZH314_brain_cancer_plasma_5mC	ZH479_brain_cancer_6421_5mC	ZH480_brain_cancer_6440_5mC	ZH481_brain_cancer_6859_5mC	ZH317_brain_cancer_plasma_5mC	ZH501_brain_cancer_5182_5mC	ZH490_brain_cancer_5065_5mC	ZH315_brain_cancer_plasma_5mC	ZH500_brain_cancer_5148_5mC	ZH484_brain_cancer_4457_5mC	ZH474_brain_cancer_3880_5mC	ZH499_brain_cancer_5101_5mC	ZH452_brain_cancer_6592	ZH486_brain_cancer_4730_5mC	ZH513_brain_cancer_4337_5mC	ZH511_brain_cancer_4633_5mC	ZH453_brain_cancer_6860	ZH313_brain_cancer_plasma_5mC	ZH271_brain_cancer_plasma_5mC	ZH494_brain_cancer_4142_5mC	ZH318_brain_cancer_plasma_5mC	ZH450_brain_cancer_6539	ZH497_brain_cancer_5131_5mC	Merge046_3542_plasma_5mC	ZH154_brain_cancer_plasma_5mC	ZH498_brain_cancer_5100_5mC	ZH496_brain_cancer_4181_5mC	Merge086_6870_plasma	Merge043_5709_plasma_5mC	ZH312_brain_cancer_plasma_5mC	ZH454_brain_cancer_3380	Merge091_3543_plasma	ZH006_Plasma_5mC	ZH471_brain_cancer_3584	ZH540_brain_cancer_3563_5mC	Merge089_3446_plasma	ZH458_brain_cancer_3465	ZH459_brain_cancer_3466	ZH515_brain_cancer_3621_5mC	ZH276_brain_cancer_plasma_5mC	ZH455_brain_cancer_3389	Merge095_3560_plasma	Merge088_3431_plasma	ZH288_brain_cancer_plasma_5mC	ZH470_brain_cancer_3572	ZH303_brain_cancer_plasma_5mC	Merge092_3568_plasma	ZH517_brain_cancer_3630_5mC	ZH518_brain_cancer_3654_5mC	ZH465_brain_cancer_3562	ZH461_brain_cancer_3507	Merge045_6528_plasma_5mC	ZH277_brain_cancer_plasma_5mC	ZH521_brain_cancer_3575_5mC	ZH157_brain_cancer_plasma_5mC	ZH162_brain_cancer_plasma_5mC	ZH469_brain_cancer_3569	ZH516_brain_cancer_3622_5mC	ZH010_Plasma_5mC	ZH270_brain_cancer_plasma_5mC	Merge031_3454_plasma_5mC	Merge047_6458_plasma_5mC	Merge042_6413_plasma_5mC	ZH404_liver_cancer_AS1110	ZH418_liver_cancer_AS1129	ZH415_liver_cancer_AS1124	ZH413_liver_cancer_AS1120	ZH416_liver_cancer_AS1125	ZH403_liver_cancer_AS1109	ZH411_liver_cancer_AS1117	ZH401_liver_cancer_AS1106	ZH398_liver_cancer_AS1097	ZH390_liver_cancer_plasma	ZH402_liver_cancer_AS1107	ZH412_liver_cancer_AS1118	ZH405_liver_cancer_AS1112	ZH280_liver_cancer_plasma_5mC	ZH176_liver_cancer_plasma_5mC	ZH171_liver_cancer_plasma_5mC	ZH388_liver_cancer_plasma	ZH392_liver_cancer_plasma	ZH387_liver_cancer_plasma	ZH175_liver_cancer_plasma_5mC	ZH378_liver_cancer_plasma_5mC	ZH281_liver_cancer_plasma_5mC	ZH409_liver_cancer_AS1115	Merge063_AS1047_plasma_5mC	ZH186_liver_cancer_plasma_5mC	Merge032_AS1024_plasma_5mC	Merge067_AS1021_plasma_5mC	ZH389_liver_cancer_plasma	ZH267_liver_cancer_plasma_5mC	ZH410_liver_cancer_AS1116	ZH279_liver_cancer_plasma_5mC	ZH396_liver_cancer_AS1090	Merge034_AS1030_plasma_5mC	ZH397_liver_cancer_AS1091	Merge065_AS1045_plasma_5mC	Merge033_AS1028_plasma_5mC	ZH326_liver_cancer_plasma_5mC	ZH180_liver_cancer_plasma_5mC	ZH269_liver_cancer_plasma_5mC	Merge066_AS1054_plasma_5mC	ZH283_liver_cancer_plasma_5mC	ZH391_liver_cancer_plasma	ZH408_liver_cancer_AS1123	ZH377_liver_cancer_plasma_5mC	Merge068_AS1067_plasma	ZH174_liver_cancer_plasma_5mC	Merge064_AS1055_plasma_5mC	Merge067_AS1068_plasma	Merge035_AS1041_plasma_5mC	Merge066_AS1069_plasma	ZH266_liver_cancer_plasma_5mC	ZH319_liver_cancer_plasma_5mC	Merge064_AS1072_plasma	Merge078_L0253_plasma	ZH420_normal_L0180	Merge079_L0262_plasma	ZH372_normal_plasma_5mC	Merge076_L0107_plasma	Merge077_L0251_plasma	ZH427_normal_L0286	ZH374_normal_plasma_5mC	ZH375_normal_plasma_5mC	ZH428_normal_L0301	ZH419_normal_L0176	ZH424_normal_L0276	ZH371_normal_plasma_5mC	ZH421_normal_L0198	Merge082_L0304_plasma	ZH272_normal_plasma_5mC	Merge085_L0287_plasma	ZH324_normal_plasma_5mC	ZH273_normal_plasma_5mC	ZH373_normal_plasma_5mC	ZH446_normal_L0305	ZH332_normal_plasma_5mC	ZH435_normal_L0257	ZH275_normal_plasma_5mC	ZH274_normal_plasma_5mC	ZH429_normal_L0105	ZH441_normal_L0271	ZH295_normal_plasma_5mC	ZH294_normal_plasma_5mC	ZH442_normal_L0275	ZH333_normal_plasma_5mC	ZH299_normal_plasma_5mC	ZH293_normal_plasma_5mC	Merge093_L0223_plasma	Merge094_L0230_plasma	ZH300_normal_plasma_5mC	ZH296_normal_plasma_5mC	ZH570_5mC	ZH577_5mC	ZH583_5mC	ZH575_5mC	ZH574_5mC	ZH568_5mC	ZH573_5mC	ZH587_5mC	ZH579_5mC	ZH581_5mC	ZH580_5mC	ZH567_5mC	ZH585_5mC	ZH582_5mC	ZH601_normal_L587100258_5mC	ZH602_normal_L587101460_5mC	ZH603_normal_L587101751_5mC	ZH604_normal_L587101758_5mC	ZH605_normal_L587101955_5mC	ZH606_normal_L587102427_5mC	ZH607_normal_L587102444_5mC	ZH608_normal_L587102503_5mC	ZH609_normal_L587102534_5mC	ZH610_normal_L587102548_5mC	ZH611_normal_L587102705_5mC	ZH612_normal_L587102708_5mC	ZH619_normal_L587101229_5mC	ZH622_normal_L587103340_5mC	ZH623_normal_L587102183_5mC	ZH624_normal_L587103979_5mC	ZH625_normal_L587100742_5mC	ZH626_normal_L587103588_5mC	ZH627_normal_L587102447_5mC	ZH628_normal_L587101236_5mC	ZH629_normal_L587100058_5mC
liver_cancer_down_22	0.732155719529027	0.306583113774009	0.63464257350905	0.549306307520185	0.171378921417263	0.752716706667332	0.580433391247477	0.454562865673228	0.751215999609573	0.787954649212314	0.631467258747099	NA	0.842608920213851	0.560787557791441	0.70182951639608	0.895581984179361	0.708342295436733	0.0988520918842492	0.829344915377127	0.775288714646058	0.595186845130391	0.868245500533735	0.393418511142954	0.323339127121171	0.218237479800706	0.0299354069945166	0.40779015371355	1	0.492721341045226	0.0665395501003202	0.820217855659449	-0.0451249501282542	0.232904131224347	0.162515946995404	0.258661114247674	0.364963431454184	0.268312790511567	0.572599699594316	0.693718411407228	0.448775836631008	0.485337506591177	0.866967278389843	0.620539447387396	0.720157349281174	0.276479550098118	0.397206197643935	0.734886073466876	0.640701213833129	0.466372588175838	0.652844855674477	-0.416826981357207	0.597579004593415	0.858084391434114	0.78416392665643	0.588289677911664	0.509097213304396	0.509455120279675	0.217311225389525	0.578823688295152	0.146153854636046	0.414765650969605	-0.045588878113212	0.61512957289815	0.441596544037263	0.440889155350582	0.0606720777751322	-0.109121828690752	0.278487224846777	NA	0.547715096917327	0.415399943345359	0.403996264370712	0.437281422317028	-0.0205406611679461	0.057558212160347	0.347702923908596	0.302781839406243	0.498921905850109	0.113646541475907	-0.416729578521194	0.285741451999971	1	0.510319050882949	0.424403644014489	0.653635794516676	-0.177396976717693	-0.159662691222297	-0.190325663519739	-0.461037419399907	0.435901732526274	-0.288016708727875	0.121057304209226	0.350474621944649	-0.0876179625406677	0.371718213719837	0.297382757336028	NA	-0.406023479998112	-0.379105550653123	0.377435298367988	-0.176683379314196	0.556266438881201	0.500537641179026	0.396410833586726	0.12283348371038	0.520848657678941	0.233587887326751	NA	-0.21616616474243	-0.442494987683781	0.309500183387006	-0.127777995415411	0.305854617988905	-0.548781876569813	-0.145727609205296	NA	0.0203612539835892	-0.469841755466697	0.353694207131349	-0.543043095176503	-0.500286003718009	-0.235483806556271	-0.358066767903751	0.602948536043582	0.507559807002544	0.698842129442427	-0.1101466854369	0.677781259534003	0.285090136118233	0.833004280722519	0.282999126662811	0.393757472009886	0.63307747769135	0.235482428792262	0.12744495452478	-0.115257555515402	0.345939801847186	0.442942934805306	0.245211436667226	0.834301580311888	-0.0319659360826796	0.455732689564487	0.155614256985107	0.454677354322897	NA	0.716278136660487	0.596265632186444	-0.441081095225102	0.559598618392217	0.0896196578564884	-0.110077521020128	0.670318499207497	1	1	1	0.333333343267441	0.395411705314103	0.152272974504	NA	0.705555688010322	0.398963820079022	0.418063541211314	0.608432089414778	0.840981655371817	0.182013719484715	0.639927781550056	0.450458541259927	0.262011609576895	0.227350479240219	0.266640062857833	0.340120159550792	0.289912834458532	0.624217248329237	0.571427286574335	0.592280956778196	0.588129745827195	0.671108820687893	0.677114654785742	0.449207181970661	0.334742227890368	0.651750927236345	0.519415091533782	0.406294231969528	0.506288881687557	0.818999500954209	0.382904249859058	0.651669979019433	0.298950651897338	0.677260004426982	0.504069719332875	0.378600104324586	0.571138697218592	0.681065749592251	0.584321834146976	0.586164665729442
normal_down_100	NA	-1	-0.627923181304684	-0.810758022591472	-0.571528420783579	-1	-0.799443976581097	NA	NA	-1	-0.704104228179996	NA	NA	NA	NA	-0.714285433292389	-0.809337164674486	NA	-0.808150786805797	-0.714286208152771	NA	-0.467570122973672	NA	-1	NA	-1	-1	NA	NA	-0.662625697526065	-1	NA	-0.411555330952009	-0.923992729021443	NA	NA	NA	-0.682344773982434	-0.559937067722019	-0.819756982326508	NA	-0.659128338466456	NA	NA	NA	-0.497516571701347	-1	-0.727120763622224	-0.56423270146052	-1	-1	-1	-0.742110178049873	NA	NA	-1	NA	-1	-0.66461534683521	NA	-0.651356783848775	-0.599999368190765	NA	-0.500000417232513	NA	-1	-1	-1	-0.421818084608425	NA	-1	-0.730646420684126	-0.883975947640606	-0.904317283630371	-0.871053671395337	-0.846154749393463	NA	-0.84582483004301	-0.833551723510027	NA	-1	NA	NA	NA	-0.601366529097924	-0.51867118026271	NA	NA	NA	-0.720234134504872	NA	NA	-1	-0.428570836782455	-0.559459060931406	NA	NA	NA	NA	-1	-0.666666030883789	NA	-1	-0.479048006534576	-1	NA	NA	-1	NA	-0.599999606609344	-1	NA	-1	NA	NA	NA	-1	NA	NA	NA	NA	-1	NA	-1	-0.866620786984762	NA	NA	NA	-0.800000011920929	-0.789989550646983	NA	NA	-0.773760477701823	NA	NA	NA	NA	-1	NA	-0.485941533268113	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.333333343267441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.799999415874481	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA
liver_cancer_down_90	0.200000390410423	0.566401195557167	0.557272841984575	-0.0216503109444271	0.433999813802831	0.906592468889254	0.251342014585798	NA	0.640724798699595	0.949845858116065	0.896400289043136	0.935571604281021	0.920600069396069	0.774835213422775	0.839049664960391	0.783571453957722	0.959960456054235	0.847847744258674	0.774309619635093	0.946932123668158	1	0.778220217898895	0.729911603164255	0.915902075417545	0.704433467881433	0.789770042642634	0.904812789783276	0.771428370475769	0.0796540885260611	0.560226420862506	0.977446080143772	-0.112500010058284	0.768662022478754	0.778968291771081	0.908481769661867	NA	0.337638401623928	0.783578399154875	0.802310822279223	0.718957038694306	0.48456998401648	0.980562361578147	0.033858110645303	0.765022419747852	0.729408439408001	0.1882684917209	0.847391491489751	0.342697416385301	0.741102771428616	0.946525774934749	0.791122648210542	0.944862158674943	0.8030670803819	0.87217011306344	0.483369871635329	0.600000381469727	0.755862972108267	NA	0.527735302538684	0.717467743684264	NA	0.286128352301708	NA	NA	0.818579268585789	0.86064516839593	1	0.333333343267441	NA	0.720289725324382	0.690855714544821	0.814056712757336	0.710166118195597	0.433595594859892	0.485475581543052	0.643007516860962	0.3677330060703	NA	0.807156914534668	0.0940699204137283	0.842868291852462	0.522643785790673	0.774886390992573	0.0604918318682573	NA	NA	-0.315592030363698	-0.260606502944773	-0.0666666775941849	NA	0.542007882893085	0.586814112877578	0.778017048198398	0.561759501561388	0.0584306100319172	0.695998107759576	0.428571969270706	0.0933862548942367	0.175826711580157	0.783376365065061	0.790851041254863	0.807684310089202	0.781149105355144	0.0147058584672563	0.758409868686571	-0.232896024766176	0.42332050012004	NA	-0.191887965620454	NA	-0.199999988079071	-1	0.76140381547219	1	0.377410795803022	NA	0.0065358999897452	0.688501938658567	-0.246970528867883	0.744381097157796	0.324751310623609	-0.234550014800496	-0.307691919688995	0.846209627523851	0.627671145197779	0.777591944395841	NA	0.800966744670773	0.756816785112023	0.412323240439097	0.777777969837189	NA	0.600410242144968	0.765628654902904	0.859952489038308	0.491228437737415	0.891336790720622	0.714883443013013	0.628175624459982	0.90575756256779	0.467261768471111	0.62427379125502	0.483886158892087	0.599999308586121	NA	0.66483503645593	0.605333054406302	0.428363806505998	1	0.968085103688088	NA	0.333332657814026	1	0.94321018175816	NA	1	0.911479945994017	1	-0.0833332091569901	NA	0.559042996261269	0.297014523769768	NA	0.778748249014219	1	0.108175960351836	0.937036973424256	NA	NA	1	-0.537676108734948	NA	1	NA	0.682279823201426	0.710645248131319	0.794812793042078	0.674538733177288	0.597241808508718	0.242996870594866	NA	0.92088360616139	0.209113579828824	0.681629578795349	0.704564365553346	0.835502928530676	0.961078106009181	0.74710727962	0.830760593361714	0.763487229080394	0.986531968469973	0.811664452208555	0.484119136484317	0.845853914075823	0.655538771160551
liver_cancer_down_31	-0.181260476809628	-0.820256723471337	-1	-0.382584924753915	NA	-1	-0.313862798320797	-0.915912929177284	-0.868153964651042	-0.750000476837158	-0.444603193441086	-0.777778076088947	-1	-0.221293769912781	-0.644650158175716	NA	-0.751775450350946	-0.752721605222087	-0.736465426378472	NA	-1	NA	-0.376726143635236	-0.095238080307057	NA	-0.0799846348372546	NA	-0.390700652374057	-1	-0.847405941058428	-0.731864566363177	-0.238325390508909	NA	-0.558537145940269	NA	-0.253209117221536	-0.598726119774922	-0.649083859052788	-0.823426226010689	-0.071691383241983	-0.793370866487103	-1	NA	0.221311638119874	-0.714286267757416	-0.43695709515363	-0.763379408632006	-0.662765238630144	0.125657403598661	NA	-0.352032028728783	-1	-0.0408924466350695	-0.666666686534882	-0.205902082259666	-0.600334344595148	-1	NA	-1	-0.156473210547119	-1	-1	-0.235555340116844	NA	-0.35882856850083	-0.131460418681736	-0.508928571428571	-1	NA	-0.639398048854456	-0.651380015888076	-0.730421089168106	-0.322703357004089	NA	-0.285713583230972	-0.997354511861448	-0.290450916721903	NA	-0.635731345809558	0.641627029841205	NA	NA	NA	-0.115106693950275	-0.111110679805279	-0.0651340826318182	0.174801233049595	0.054564495327135	0.595933372836287	-0.521287727687094	0.246081509980662	0.128745400642113	NA	NA	-0.950511744496418	0.305217640925638	0.838699816465378	0.328538413962414	-0.0156760955495494	-0.536985221067311	-0.160952159663041	-0.437394181887309	0.13538827063815	-0.861390994220483	0.598175505476613	0.0554443445934612	-0.380952909588814	NA	0.194373574728767	-0.129176974580401	-0.169422055978628	0.527045004069805	NA	-0.0144390031590919	0.00992587932877326	0.600000023841858	0.343731911984954	0.542434283262174	0.0784374744330764	-0.0907523955230589	0.396868010895364	-0.76416649222374	-0.0368000128269196	-1	-0.437399213467169	-0.677521211887473	0.0320133828524365	-0.987272716652263	-0.0640208875935381	NA	-0.203732785860916	-0.333332747220993	-0.678725754305468	-1	-0.268216407968074	NA	NA	NA	-0.218579594174336	0.0400637097740441	0.405141282004195	-0.0849360367899275	-0.0363953974210855	-0.643181885251347	-0.537373873997818	-0.564912064033642	-0.531673264503479	NA	-0.580722343490784	NA	NA	0.383542749672255	-1	NA	-1	NA	NA	NA	-0.663849572060813	NA	1	-0.444713665267168	NA	0.152824160664581	-1	-0.443519513658135	-0.576127370721416	NA	NA	-1	-1	-0.687499993170301	NA	-0.401406341904326	-0.682219330404626	-0.483625339006358	-0.889237340758829	-0.807762253319933	-0.876042595986397	-0.191616455129549	-0.706142586646694	-0.251204916152609	NA	NA	-0.135210043145135	0.248108460415493	-0.689890299906988	-0.800243990813814	NA	-0.774398897257116	0	-0.116676526948994	-0.760652720519941	NA	-0.723321265868239
normal_down_15	-1	NA	-1	NA	-1	-1	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.994011987647611	-1	NA	-1	-1	NA	-1	-1	-1	NA	NA	-1	-1	NA	-1	NA	NA	NA	NA	-1	-1	-1	NA	NA	-1	NA	-1	NA	-1	NA	NA	-1	-1	-1	-1	NA	-1	-1	NA	NA	NA	-1	NA	NA	NA	NA	-1	-1	-0.844596834659576	NA	NA	NA	-1	-0.911656807827693	-1	-1	NA	-1	-1	-0.893631313215284	-1	-1	-1	-0.818181455135345	-1	NA	-1	-1	NA	-1	NA	NA	NA	-1	-1	-1	-1	NA	-1	NA	-1	-1	-1	-0.811531941450778	-1	-1	-1	NA	-1	-1	NA	-1	-1	-1	-1	NA	-1	-1	-1	NA	NA	NA	NA	-1	NA	NA	-1	NA	NA	NA	NA	-1	NA	NA	-1	-1	NA	NA	-1	NA	-1	-0.803595320805491	NA	NA	NA	-1	-1	-0.512612570513476	NA	NA	-1	NA	NA	NA	NA	-1	NA	NA	NA	-0.333332747220993	-1	-1	NA	NA	NA	NA	NA	NA	NA	-1	NA	-1	NA	NA	NA	NA	NA	-1	-0.832527747111661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
liver_cancer_down_98	1	NA	NA	NA	0.828228078656277	1	1	NA	1	0.615023565653599	1	NA	0.907723665237427	NA	1	NA	NA	1	NA	1	1	1	0.511996714443695	NA	NA	1	NA	0.333332747220993	NA	0.599999606609344	1	0.7126760654886	0.774114766438019	0.546885579307644	NA	NA	NA	NA	0.835038431336947	1	NA	1	1	NA	1	1	1	NA	0.45074678373103	1	NA	NA	1	1	0.733333341355594	0.632394832624516	1	NA	0.795525734856625	0.200000002980232	1	0.88211469334576	1	NA	0.549378186823374	1	1	1	NA	1	1	NA	NA	NA	NA	0.872146217446578	NA	NA	0.523211924054406	NA	NA	NA	NA	NA	0.898774289098897	1	NA	0.781410783178666	NA	0.649375030770898	0.841269949404131	NA	0.770270315279444	NA	0.812573275782845	1	NA	0.714285671710968	NA	1	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	0.0529627786328395	NA	NA	NA	NA	NA	NA	NA	0.891676416854985	1	1	1	NA	0.659415224978798	1	0.624919125726146	1	1	NA	NA	1	1	1	NA	0.664145487149556	1	1	NA	0.345097796297541	1	NA	NA	1	0.851985675051696	NA	0.702150260633038	NA	1	0.333333343267441	0.690740742286046	NA	1	NA	NA	1	NA	1	NA	1	1	1	1	1	NA	1	0.863653381355107	1	NA	1	0.70079630613327	1	0.868080963407244	1	1	0.90258965739664	0.843619777958774	1	1	0.877409021059672	1	NA	1	1	0.840270892629084	1	0.757582764228185	0.885435426721767	NA	NA
liver_cancer_down_82	NA	NA	-1	NA	-1	-1	NA	NA	NA	-0.898149123366591	-1	NA	-0.934210589057521	-0.868362380635171	NA	-1	-0.925000049173832	-0.962143700452721	NA	-0.588400591302801	-0.714661832113524	-0.688602509146387	NA	NA	NA	-0.385714282937672	-0.49935905624319	NA	NA	NA	NA	-0.814979269866544	NA	-0.557447325253318	-0.926751595393867	NA	-1	NA	-1	-1	NA	NA	-0.714286506175995	-0.973737486384132	NA	-0.448517058960727	-0.821428246796131	-0.714285969734192	NA	-0.964488554068587	-1	NA	-1	-0.668610321015728	-1	-1	-1	-0.599999248981476	NA	-1	-0.751777733295736	-1	NA	NA	NA	-1	-1	-1	NA	NA	NA	NA	NA	NA	NA	-0.560939639806747	NA	NA	NA	NA	NA	NA	NA	-0.800000369548798	-0.920065806255684	-0.630457065144523	-0.22569483704865	NA	NA	NA	NA	NA	NA	NA	NA	-0.714285969734192	NA	-0.714285671710968	NA	-1	-0.543650587399801	-0.721032373110453	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	-1	NA	NA	-0.500000417232513	NA	0.42916711717844	NA	NA	-0.846826049773132	-0.844631225747221	NA	NA	-1	NA	-1	-0.445000053197145	-0.406722380333588	-0.805811916457282	-0.612675628037129	-0.749999582767487	-0.751586888517652	NA	-1	NA	-0.65685841627419	-0.188845531785325	NA	NA	NA	NA	NA	-0.693320067445184	-0.611209457954474	NA	NA	NA	-1	-1	-1	NA	-1	-0.683179716910085	NA	NA	NA	-0.603872326049176	-0.267985169683491	NA	-0.666666388511658	-1	-1	-1	-1	-1	-0.727748532569845	-0.800266628303835	NA	-0.666391809781392	-1	NA	-0.92910057703654	-1	-0.786363364620642	-1	-0.499999523162842	-0.623936108840528	-0.793277872628287	NA	-0.690105414996713	-1	-0.545762620089244	NA	NA	-1	-1	NA	-1	-0.500000476837158	-0.669709557612267	-0.788591025075363
liver_cancer_up_3	NA	NA	-1	-1	NA	NA	NA	NA	-1	-1	-1	NA	-1	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	-1	-1	NA	-1	-1	NA	NA	NA	-1	NA	NA	NA	-1	NA	NA	NA	-1	NA	NA	-1	-1	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	NA	-1	-1	NA	-1	NA	-1	-1	-1	-1	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	NA	NA	-1	-1	-1	-1	-1	-1	NA	-1	NA	NA	-1	NA	-1	NA	NA	-1	-1	-1	-1	NA	NA	-1	NA	-1	-1	-1	NA	NA	-1	NA	NA	NA	NA	-1	NA	NA	NA	NA	-1	NA	-1	NA	NA	NA	-1	NA	-1	-1	NA	NA	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	-1	NA	-1	NA	-1	-1
normal_down_9	-0.875546781884299	-0.716590532163779	-0.592999890115526	-0.651709796157148	-0.914829801606095	-0.57616163790226	-0.0425910671609779	-0.218547691073683	-0.588702296879556	-0.699802746706539	-0.817341480321354	-1	-0.611847013566229	-0.350544835047589	-0.679664804041386	-0.486215172708034	-0.722353989548153	-0.710579202241368	-0.800337669915623	-0.557922798507619	-0.675412621763017	-0.985686736636692	-0.916130890448888	-0.754160801569621	-0.864389220009679	-0.80518078274197	-0.5262932550576	-0.741181619693897	-0.780149557855394	-0.427591848334199	-0.698649912741449	-0.643940072258314	-0.973224519689878	-0.891609114408493	-0.875291800498962	-1	-1	-0.680301066239675	-0.512643929653698	-0.494738986757067	-0.442054847545094	-0.804756100641357	-0.850560887985759	-0.524397667414612	-0.618755641715979	-0.393241448038154	-0.222670648164219	-1	-0.576090203060044	-0.744526610109541	-0.852625827325715	NA	-0.232545777079132	-1	-0.448043250996206	-0.324668510635009	-0.762527298726393	-0.666172416673766	-0.220149059717854	-0.458645616637336	-0.647559731194143	-1	-0.76659586959415	NA	-0.544819289463617	-0.972476623455683	-0.55924556321568	-1	0.405384840479322	NA	-0.183375308687767	-0.507300845507918	-0.289036521646712	-0.377734937451103	-0.523918010625574	-0.19480739755349	-0.414948211444749	-0.51822149273422	-0.464990544981427	-0.411351810843667	-0.249461535294974	-0.378406387377293	-0.26321114272707	NA	-0.962472733855247	-0.62580803649293	-0.500000536441803	-0.756483928842859	NA	-0.77900600069099	-0.451089063286781	-1	-0.537385223805904	-0.750794848468569	-0.662412688136101	NA	NA	-0.606050978338017	-0.258095249831676	-0.566814829409122	-1	-0.477355130016804	-1	0.00654915934321524	-0.821019455128246	-0.507879865169525	NA	-1	-0.552049037979709	-0.720024093323284	NA	-0.666429560505942	-0.848071243990673	NA	-0.660918936795658	-0.542913753622108	-0.737400034401152	-0.885308586888843	-0.353760760608647	NA	-0.387605540016118	-1	NA	-0.483330527610249	-0.548351803187574	-0.630018746190601	-0.599264355233082	-0.541615802049637	-0.531811448600557	-0.539999505877495	-0.564134284118075	NA	-0.497596249977748	-0.80949244664775	-0.296559636129273	0.0999126083467131	-0.416358314454556	-0.438628037687805	-0.644406531751156	-0.363554080410136	-0.614280761120706	-0.594406693446927	-0.570067744068548	-1	NA	-0.762391981151369	NA	-0.871683507164319	-0.840212686856588	-0.0728218550483386	NA	-1	-0.29745700286532	-0.829013119038847	NA	NA	-0.787125120229191	0.318790771522456	NA	NA	NA	0.89306478158516	NA	0	-1	-0.780357181620436	-0.0803954486741501	1	NA	1	NA	NA	NA	0.476272748410702	NA	0.153278098697023	-0.303313866385392	-0.208242177039154	-0.264281594960226	0	-0.293069267438518	0.298450319206013	0.426809170368043	-0.20943631088982	0.205584003056368	0.0224205353297293	0.982905950811174	1	0.695187794638204	0	NA	NA	NA	NA	NA
liver_cancer_up_18	-1	NA	NA	-1	-1	NA	NA	-1	-1	-1	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	NA	NA	-1	-1	-1	-1	-1	NA	NA	-1	-1	-1	NA	-1	NA	-1	NA	NA	-1	-1	NA	NA	-1	-1	NA	-1	-1	NA	-0.958031840417561	-1	-1	-1	NA	NA	-1	NA	-1	-1	-1	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-0.992969868605029	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	-1	NA	-0.928861558015616	-1	-1	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	NA	-1	-1	NA	NA	-1	NA	-1	-1	NA	-1	NA	-1	-1	-1	-1	NA	-1	-1	-1	NA	-1	-1	NA	-1	-1	-1	NA	NA	-1	-1	NA	-1	NA	NA	-1	NA	NA	-1	NA	NA	-1	-1	NA	-1	-1	NA	-1	-1	-1	-0.997126449798716	-1	NA	NA	-1	NA	-1	NA	-1	NA	-1	-1	NA	NA	NA	-1	NA	-1	-1	-1	NA
